Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,12,13,-,-,4,4,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,5,5,-,-,7,6,7,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,65,25,-,-,96,96,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,37,37,-,-,42,42,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,18,13,17,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,-,-,-,-,-,35,35,46,-,45,45,43,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,27,27,27,-,32,27,27,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,44,60,17,-,66,66,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,30,38,45,-,16,21,20,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,38,30,30,-,29,29,29,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,60,92,92,92,83,83,83,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,14,10,6,-,27,18,25,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,52,58,52,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,71,101,101,-,117,117,117,117
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,-,-,-,-,-,98,93,-,-,54,63,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,31,51,51,-,35,35,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,51,54,71,71,34,36,36,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,70,70,100,100,51,57,57,-
JIPMER-All India,EWS,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,220,237,237,-,205,234,234,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,-,-,-,-,-,88,123,123,-,120,132,132,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,-,-,-,-,-,216,311,-,-,-,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,150,150,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,-,-,-,-,-,154,159,171,-,148,173,173,173
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,-,-,-,-,-,53,71,98,-,-,-,-,-
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,187,152,156,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,45,45,86,111,37,75,75,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",NEUROSURGERY 6 YRS,-,-,-,-,-,168,106,106,-,53,53,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,-,-,-,-,-,211,206,97,-,74,24,-,-
AIIMS-All India,UR,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,41,31,31,31,-,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,-,-,-,-,-,127,153,153,-,228,209,209,209
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROSURGERY 6 YRS,-,-,-,-,-,8,65,-,-,68,68,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,-,-,-,-,-,80,80,-,-,97,79,64,64
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,-,-,-,-,-,103,104,-,103,102,119,124,124
AIIMS-All India,UR,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,50,50,50,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,116,168,168,168,19,19,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,99,99,99,-,58,60,60,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,97,41,-,-,73,32,32,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,-,-,-,-,-,109,114,114,79,-,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,112,112,-,-,132,120,120,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,-,-,-,-,-,129,109,109,-,154,115,129,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,-,-,-,-,-,16,16,-,-,8,8,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",DERMATOLOGY,-,-,-,-,-,69,56,56,-,24,26,26,99
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,311,228,228,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,69,86,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,-,-,-,-,-,72,72,81,-,84,84,84,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,-,-,-,-,-,135,145,147,-,153,126,-,-
NIMHANS-All India,UR,Karnataka,"NIMHANS, Bangalore",NEUROLOGY 6 YRS,-,-,-,-,-,-,-,-,-,115,107,98,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,-,-,-,-,-,122,122,-,-,142,130,130,130
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,137,155,155,155,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,49,49,-,-,158,171,183,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,152,152,152,-,173,240,176,-
AIIMS-All India,UR,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",RADIO DIAGNOSIS,-,-,-,-,-,150,131,-,-,71,71,71,-
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",RADIO DIAGNOSIS,-,-,-,-,-,151,144,144,193,-,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,96,96,96,-,70,70,70,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,-,-,-,-,-,205,205,240,240,-,-,-,-
AIIMS-All India,UR,Uttarakhand,"AIIMS, Rishikesh",UROLOGY (6 YRS),-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,141,129,141,141
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",RADIO DIAGNOSIS,-,-,-,-,-,209,197,-,-,-,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",TBRD,-,-,-,-,-,-,358,358,-,160,189,189,-
AIIMS-All India,EWS,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,78,205,205,-
AIIMS-All India,EWS,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,-,-,-,-,-,110,98,182,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,344,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,-,-,-,-,-,159,210,210,-,209,321,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,-,-,-,-,-,247,223,247,326,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,285,285,-,434,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",DERMATOLOGY,-,-,-,-,-,224,209,296,344,41,41,-,-
PGIMER-All India,UR,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,275,288,424,-,28,28,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,252,87,-,-,175,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,178,178,-,-,-,-,-,-
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,169,135,135,-
