Round,AI Rank,State,Institute,Course,Quota,Category
0,1,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,2,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,UR
0,3,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,4,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,6,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,7,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,8,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,9,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,10,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,11,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,12,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,SC
0,13,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,14,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,15,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,16,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-All India,UR
0,17,Chandigarh,"PGIMER, Chandigarh",NUCLEAR MEDICINE,PGIMER-All India,UR
0,18,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,19,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,UR
0,20,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,21,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,UR
0,22,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,23,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,24,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,25,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,26,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,SC
0,27,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,OBC
0,28,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,29,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,30,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,31,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,AIIMS-All India,UR
0,32,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,34,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,OBC
0,35,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,36,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIMPER-Inst. Pref,INST (JIPMER)
0,37,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,38,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,UR
0,39,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,40,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,41,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,AIIMS-All India,UR
0,42,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,UR
0,43,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,SC
0,44,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,EWS
0,45,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,AIIMS-All India,UR
0,46,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,EWS
0,47,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,48,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,AIIMS-All India,UR
0,49,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,50,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
0,51,Delhi,"AIIMS, Delhi",NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,52,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,UR
0,53,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,54,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,AIIMS-All India,UR
0,55,Maharashtra,"AIIMS, Nagpur",RADIO DIAGNOSIS,AIIMS-All India,UR
0,56,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,OBC
0,57,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,58,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,59,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,60,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,AIIMS-All India,UR
0,61,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,UR
0,63,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,AIIMS-All India,UR
0,64,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,65,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
0,66,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,67,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-All India,UR
0,68,Bihar,"AIIMS, Patna",RADIO DIAGNOSIS,AIIMS-All India,UR
0,70,Karnataka,"NIMHANS, Bangalore",NEUROSURGERY 6 YRS,NIMHANS-All India,UR
0,71,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,AIIMS-All India,UR
0,72,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,OBC
0,73,Delhi,"AIIMS, Delhi",OBG,AIIMS-All India,UR
0,74,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,75,Chandigarh,"PGIMER, Chandigarh",DERMATOLOGY,PGIMER-All India,UR
0,76,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,77,Chandigarh,"PGIMER, Chandigarh",DERMATOLOGY,PGIMER-All India,OBC
0,78,Rajasthan,"AIIMS, Jodhpur",PAEDIATRICS,AIIMS-All India,UR
0,79,Uttarakhand,"AIIMS, Rishikesh",UROLOGY (6 YRS),AIIMS-All India,UR
0,80,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,UR
0,81,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,82,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,OBC
0,83,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,AIIMS-All India,UR
0,85,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,UR
0,87,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,AIIMS-All India,UR
0,88,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,AIIMS-All India,UR
0,89,Karnataka,"NIMHANS, Bangalore",NEUROSURGERY 6 YRS,NIMHANS-All India,UR
0,90,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIPMER-All India,UR
0,91,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,92,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,EWS
0,93,Delhi,"AIIMS, Delhi",RADIATION ONCOLOGY,AIIMS-All India,UR
0,94,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,AIIMS-All India,UR
0,95,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,UR
0,96,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,AIIMS-All India,UR
0,98,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,UR
0,99,Chhattisgarh,"AIIMS, Raipur",RADIO DIAGNOSIS,AIIMS-All India,UR
0,100,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,OBC
0,101,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,UR
0,102,Punjab,"AIIMS, Bathinda",RADIO DIAGNOSIS,AIIMS-All India,UR
0,103,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,104,Rajasthan,"AIIMS, Jodhpur",NUCLEAR MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
0,105,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-All India,OBC
0,106,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,OBC
0,108,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,UR
0,110,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,AIIMS-All India,OBC
0,111,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,112,Delhi,"AIIMS, Delhi",OBG,AIIMS-All India,UR
0,113,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,AIIMS-All India,UR
0,114,Odisha,"AIIMS, Bhubaneswar",PAEDIATRICS,AIIMS-All India,UR
0,115,Bihar,"AIIMS, Patna",GENERAL MEDICINE,AIIMS-All India,UR
0,116,Bihar,"AIIMS, Patna",DERMATOLOGY,AIIMS-All India,OBC
0,118,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,OBC
0,119,Bihar,"AIIMS, Patna",GENERAL MEDICINE,AIIMS-All India,UR
0,120,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,OBC
0,121,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,EWS
0,122,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,AIIMS-All India,UR
0,123,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,124,Uttarakhand,"AIIMS, Rishikesh",NUCLEAR MEDICINE,AIIMS-All India,UR
0,126,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,UR
0,127,West Bengal,"AIIMS, Kalyani",GENERAL MEDICINE,AIIMS-All India,UR
0,130,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,AIIMS-All India,UR
0,131,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,132,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,AIIMS-All India,OBC
0,133,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,134,Pondicherry,"JIPMER, Puducherry",NEUROSURGERY 6 YRS,JIPMER-All India,UR
0,135,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,OBC
0,136,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,AIIMS-All India,UR
0,137,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,UR
0,138,West Bengal,"AIIMS, Kalyani",GENERAL MEDICINE,AIIMS-All India,UR
0,139,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,AIIMS-All India,SC
0,140,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,AIIMS-All India,UR
0,141,Bihar,"AIIMS, Patna",SURGGASTRO (6 YRS),AIIMS-Inst. Pref,UR-AIIMS-IP
0,142,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,AIIMS-All India,UR
0,143,Punjab,"AIIMS, Bathinda",GENERAL MEDICINE,AIIMS-All India,UR
0,145,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,AIIMS-All India,UR
0,146,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,147,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,EWS
0,148,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,UR
0,149,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,AIIMS-All India,UR
0,150,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,OBC
0,151,Jharkhand,"AIIMS, Deoghar",GENERAL MEDICINE,AIIMS-All India,UR
0,152,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,OBC
0,153,Uttarakhand,"AIIMS, Rishikesh",PLASTIC SURGERY 6 YRS,AIIMS-All India,UR
0,154,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,AIIMS-All India,UR
0,155,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-All India,EWS
0,156,Maharashtra,"AIIMS, Nagpur",NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,157,Odisha,"AIIMS, Bhubaneswar",PAEDIATRICS,AIIMS-All India,UR
0,158,Pondicherry,"JIPMER, Puducherry",OBG,JIPMER-All India,UR
0,159,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,161,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,AIIMS-All India,OBC
0,162,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,OBC
0,164,Odisha,"AIIMS, Bhubaneswar",GENERAL MEDICINE,AIIMS-All India,OBC
0,165,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,166,Uttar Pradesh,"AIIMS, Gorakhpur",DERMATOLOGY,AIIMS-All India,UR
0,167,Odisha,"AIIMS, Bhubaneswar",GENERAL SURGERY,AIIMS-All India,UR
0,168,Uttar Pradesh,"AIIMS, Rai Bareli",GENERAL MEDICINE,AIIMS-All India,UR
0,169,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,AIIMS-All India,OBC
0,170,West Bengal,"AIIMS, Kalyani",PAEDIATRICS,AIIMS-All India,UR
0,171,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,AIIMS-All India,UR
0,173,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,174,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,175,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,177,Odisha,"AIIMS, Bhubaneswar",PLASTIC SURGERY 6 YRS,AIIMS-All India,UR
0,178,Telangana,"AIIMS, Bibinagar",DERMATOLOGY,AIIMS-All India,UR
0,179,Telangana,"AIIMS, Bibinagar",RADIO DIAGNOSIS,AIIMS-All India,UR
0,180,Telangana,"AIIMS, Bibinagar",GENERAL MEDICINE,AIIMS-All India,UR
0,181,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,EWS
0,182,Uttarakhand,"AIIMS, Rishikesh",PAEDIATRICS,AIIMS-All India,UR
0,184,Telangana,"AIIMS, Bibinagar",RADIO DIAGNOSIS,AIIMS-All India,UR
0,185,West Bengal,"AIIMS, Kalyani",RADIO DIAGNOSIS,AIIMS-All India,UR
0,187,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,AIIMS-All India,OBC
0,188,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,PGIMER-All India,UR
0,189,Maharashtra,"AIIMS, Nagpur",NUCLEAR MEDICINE,AIIMS-All India,UR
0,191,Chhattisgarh,"AIIMS, Raipur",GENERAL MEDICINE,AIIMS-All India,OBC
0,192,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,PGIMER-All India,UR
0,193,Telangana,"AIIMS, Bibinagar",RADIO DIAGNOSIS,AIIMS-All India,UR
0,194,West Bengal,"AIIMS, Kalyani",DERMATOLOGY,AIIMS-All India,UR
0,195,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,AIIMS-All India,EWS
0,196,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,AIIMS-All India,UR
0,198,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,199,Chandigarh,"PGIMER, Chandigarh",OBG,PGIMER-All India,UR
0,200,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,201,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,UR
0,202,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,NIMHANS-All India,UR
0,204,Andhra Pradesh,"AIIMS, Mangalagiri",NEUROSURGERY 6 YRS,AIIMS-All India,UR
0,205,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,SC
0,206,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,AIIMS-All India,UR
0,207,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,AIIMS-All India,UR
0,208,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,AIIMS-All India,UR
0,210,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,UR
0,212,Madhya Pradesh,"AIIMS, Bhopal",DERMATOLOGY,AIIMS-All India,EWS
0,214,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,215,Madhya Pradesh,"AIIMS, Bhopal",GENERAL MEDICINE,AIIMS-All India,OBC
0,216,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIPMER-All India,OBC
0,218,Bihar,"AIIMS, Patna",GENERAL MEDICINE,AIIMS-All India,OBC
0,219,Bihar,"AIIMS, Patna",PAEDIATRICS,AIIMS-All India,UR
0,221,Chhattisgarh,"AIIMS, Raipur",PAEDIATRICS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,222,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,SC
0,223,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,PGIMER-All India,UR
0,224,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIPMER-All India,OBC
0,225,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,AIIMS-All India,OBC
0,226,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,PGIMER-All India,UR
0,230,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,PGIMER-All India,UR
0,231,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,OBC
0,233,Maharashtra,"AIIMS, Nagpur",NEUROSURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
0,234,Delhi,"AIIMS, Delhi",DERMATOLOGY,AIIMS-All India,SC
0,235,Chandigarh,"PGIMER, Chandigarh",OPHTHALMOLOGY,PGIMER-All India,UR
0,236,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,JIPMER-All India,UR
0,238,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-All India,UR
0,239,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,EWS
0,240,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,241,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,JIPMER-All India,UR
0,242,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,EWS
0,243,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIMPER-Inst. Pref,INST (JIPMER)
