State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,AIQ,GEN,"₹ 69,470",20,20,20,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 51,000",15,15,30,-
Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"₹ 34,500",39,39,39,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"₹ 15,000",41,41,41,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 15,000",25,46,46,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 15,000",49,49,49,-
Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",568,63,63,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 51,000",73,73,73,-
Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 16,200",62,75,75,-
Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹ 72,000",16,76,76,-
Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"₹ 69,470",79,79,79,-
Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,EWS,"₹ 16,200",86,86,86,-
Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,OBC,"₹ 69,470",87,87,87,-
Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹ 16,200",94,94,94,-
Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",484,584,95,-
Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",58,96,96,-
Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 72,000",98,98,98,-
Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,EWS,"₹ 16,200",99,99,99,-
Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 16,200",83,107,107,-
Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 16,200",60,108,108,-
Kerala,"Govt Med Coll, Thrissur",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470",114,114,114,-
Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹ 16,200",108,116,116,-
Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 15,000",74,74,119,-
Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹ 16,200",123,123,123,-
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹ 1,57,100",119,119,125,-
Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,EWS,"₹ 69,470",127,127,127,-
Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470",129,129,129,-
