STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Gujarat,"Govt Med Coll, Surat",DA,AIQ,"₹ 20,000.00",1150,1,"₹ 40,00,000.00","₹ 75,600.00"
Gujarat,"MP Shah, Jamnagar",DA,AIQ,"₹ 20,000.00",1250,1,"₹ 40,00,000.00","₹ 75,600.00"
Gujarat,"PDU Med Coll, Rajkot",DA,AIQ,"₹ 20,000.00",750,1,"₹ 40,00,000.00","₹ 75,600.00"
Uttar Pradesh,"BRD Med Coll, Gorakhpur",DA,AIQ,"₹ 24,000.00",1050,2,"₹ 20,00,000.00","₹ 1,10,646.00"
West Bengal,Calcutta National Med Coll,DA,AIQ,"₹ 12,000.00",1470,2,"₹ 20,00,000.00","₹ 61,634.00"
Bihar,"Darbhanga, Lehriasarai",DA,AIQ,"₹ 9,000.00",1030,2,"₹ 25,00,000.00","₹ 82,000.00"
Assam,"Gauhati Med Coll, Guwahati",DA,AIQ,"₹ 27,300.00",2185,2,"₹ 15,00,000.00","₹ 55,200.00"
Uttar Pradesh,"GSVM Med Coll, Kanpur",DA,AIQ,"₹ 24,000.00",2083,2,"₹ 20,00,000.00","₹ 1,10,646.00"
Delhi,"Hindu Rao, Delhi",DA,AIQ,"₹ 16,200.00",832,1,"₹ 20,00,000.00","₹ 1,32,336.00"
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DA,AIQ,"₹ 1,57,100.00",1462,1,"₹ 50,00,000.00","₹ 93,559.00"
Uttar Pradesh,"MLB Med Coll, Jhansi",DA,AIQ,"₹ 24,000.00",700,2,"₹ 20,00,000.00","₹ 1,10,646.00"
West Bengal,"Govt. Med College, Kolkata",DA,AIQ,"₹ 12,000.00",2668,2,"₹ 20,00,000.00","₹ 61,634.00"
Tamil Nadu,"Rajah Muthiah, Annamalainagar",DA,AIQ,"₹ 20,000.00",1400,2,"₹ 20,00,000.00","₹ 50,647.00"
West Bengal,"RG Kar Med Coll, Kolkata",DA,AIQ,"₹ 12,000.00",1663,2,"₹ 20,00,000.00","₹ 61,634.00"
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",DA,AIQ,"₹ 11,000.00",1200,0,₹ 0.00,"₹ 80,000.00"
Uttar Pradesh,"IMS(BHU), Varanasi",DA,AIQ,"₹ 48,226.00",2424,0,₹ 0.00,"₹ 1,12,054.00"
Punjab,"Govt Med Coll, Amritsar",DA,AIQ,"₹ 1,25,000.00",951,2,"₹ 20,00,000.00","₹ 76,000.00"
Punjab,"Govt Med Coll, Patiala",DA,AIQ,"₹ 1,25,000.00",1130,2,"₹ 20,00,000.00","₹ 76,000.00"
Delhi,"Hindu Rao, Delhi",DA,DU,"₹ 16,200.00",832,1,"₹ 20,00,000.00","₹ 1,32,336.00"
Maharashtra,"AFMC, Pune",DA,AFMS,"₹ 1,57,100.00",1082,5,"₹ 59,00,000.00","₹ 93,559.00"
Gujarat,"Govt Med Coll, Bhavnagar",DCH,AIQ,"₹ 20,000.00",720,1,"₹ 40,00,000.00","₹ 75,600.00"
Gujarat,"MP Shah, Jamnagar",DCH,AIQ,"₹ 20,000.00",1250,1,"₹ 40,00,000.00","₹ 75,600.00"
Gujarat,"PDU Med Coll, Rajkot",DCH,AIQ,"₹ 20,000.00",750,1,"₹ 40,00,000.00","₹ 75,600.00"
Assam,"Assam Med Coll, Dibrugarh",DCH,AIQ,"₹ 27,300.00",1365,2,"₹ 15,00,000.00","₹ 55,200.00"
Uttar Pradesh,"BRD Med Coll, Gorakhpur",DCH,AIQ,"₹ 24,000.00",1050,2,"₹ 20,00,000.00","₹ 1,10,646.00"
Assam,"Gauhati Med Coll, Guwahati",DCH,AIQ,"₹ 27,300.00",2185,2,"₹ 15,00,000.00","₹ 55,200.00"
Uttar Pradesh,"GSVM Med Coll, Kanpur",DCH,AIQ,"₹ 24,000.00",2083,2,"₹ 20,00,000.00","₹ 1,10,646.00"
Delhi,"Kasturba Hospital, Delhi",DCH,AIQ,"₹ 16,200.00",450,1,"₹ 20,00,000.00","₹ 1,26,927.00"
Uttar Pradesh,"LLRM Med Coll, Meerut",DCH,AIQ,"₹ 24,000.00",1090,2,"₹ 20,00,000.00","₹ 1,10,646.00"
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DCH,AIQ,"₹ 1,57,100.00",1462,1,"₹ 50,00,000.00","₹ 93,559.00"
Jharkhand,"MGM Med Coll, Jamshedpur",DCH,AIQ,"₹ 1,550.00",540,3,"₹ 30,00,000.00","₹ 54,500.00"
