S. No.,State,Management of college,College Name,Course Name,Seats
1,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Anaesthesiology,3
2,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Anatomy,2
3,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Community Medicine,2
4,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - OBG,7
5,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - General Surgery,5
6,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - Orthopedics,4
7,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MS - Ophthalmology,3
8,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD- General Medicine,17
9,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Paediatrics,6
10,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Psychiatry,2
11,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Respiratory Medicine,3
12,Andhra Pradesh,Govt,ACSR Government Medical College Nellore,MD - Forensic Medicine,2
13,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Pharmacology,2
14,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - ENT,6
15,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Social & Preventive Medicine / Community
Medicine",4
16,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Anaesthesiology,14
17,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Bio-Chemistry,2
18,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Dermatology , Venereology & Leprosy",6
19,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
20,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Microbiology,2
21,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Orthopaedics,10
22,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Radio Diagnosis/Radiology,18
23,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Paediatrics,12
24,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Ophthalmology,6
25,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - Obstetrics & Gynaecology,15
26,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MS - General Surgery,20
27,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Physiology,2
28,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",7
29,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - General Medicine,20
30,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Pathology,5
31,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Anatomy,2
32,Andhra Pradesh,Trust,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",MD - Psychiatry,3
33,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D. Anatomy,5
34,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Biochemistry,10
35,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Forensic Medicine,10
36,Andhra Pradesh,Govt,"Andhra Medical College, Visakhapatnam",M.D.Microbiology,10
