Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AIIMS SO,Open,Delhi,"AIIMS, Delhi",MBBS,1350,48(48),48(48),48(48)
AI,Open,Delhi,"MAMC, Delhi",MBBS,2095,103(14),103(14),103(14)
AI,Open,Delhi,"VMMC, Delhi",MBBS,41000,132(10),132(10),132(10)
AIIMS SO,OBC,Delhi,"AIIMS, Delhi",MBBS,1350,206(33),207(33),207(33)
AI,Open,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,215(5),215(5),215(5)
AI,OBC,Delhi,"VMMC, Delhi",MBBS,41000,232(5),232(5),232(5)
AIIMS SO,EWS,Delhi,"AIIMS, Delhi",MBBS,1350,254(12),254(12),254(12)
JPMR SO,Open,Pondicherry,"JIPMER, Puducherry",MBBS,1200,258(52),260(52),260(52)
AI,OBC,Delhi,"MAMC, Delhi",MBBS,2095,381(9),381(9),381(9)
AIIMS SO,Open,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,392(57),392(57),392(57)
AI,Open,Delhi,"UCMS, Delhi",MBBS,31340,559(9),559(9),559(9)
AIIMS SO,Open,Madhya Pradesh,"AIIMS, Bhopal",MBBS,1350,531(47),634(47),634(47)
AIIMS SO,SC,Delhi,"AIIMS, Delhi",MBBS,1350,644(18),644(18),644(18)
AI,Open,Chandigarh,"GMC, Chandigarh",MBBS,24979,690(10),690(10),690(10)
AI,EWS,Delhi,"VMMC, Delhi",MBBS,41000,693(3),693(3),693(3)
JPMR SO,OBC,Pondicherry,"JIPMER, Puducherry",MBBS,1200,738(35),748(35),748(35)
AIIMS SO,OBC,Rajasthan,"AIIMS, Jodhpur",MBBS,1350,766(38),766(38),766(38)
AIIMS SO,Open,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,706(49),765(49),785(49)
AI,EWS,Delhi,"MAMC, Delhi",MBBS,2095,789(4),789(4),789(4)
AIIMS SO,Open,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,685(48),781(48),816(48)
AI,Open,Gujarat,"BJMC, Ahmedabad",MBBS,25000,889(14),889(14),889(14)
AI,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,1009(2),1009(2),1009(2)
AIIMS SO,Open,Maharashtra,"AIIMS, Nagpur",MBBS,1350,862(50),891(50),1030(50)
AIIMS SO,OBC,Uttarakhand,"AIIMS, Rishikesh",MBBS,1350,1077(33),1104(33),1104(33)
AI,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,41000,519(5),519(5),1125(5)
