State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Delhi,"ESI, Basaidarpur, Delhi",MBBS,AI,100000,Info Not Available,1,500000,26300
Uttar Pradesh,"ESIC MedCollHosp,Noida",MBBS,AI,100000,Info Not Available,1,500000,26300
Gujarat,"ESIC Med Coll, Naroda",MBBS,AI,100000,Info Not Available,1,500000,26300
Maharashtra,"ESI, Andheri, Mumbai",MBBS,AI,100000,Info Not Available,1,500000,26300
Punjab,"ESIC MedCollHosp,Ludhiana",MBBS,AI,100000,Info Not Available,1,500000,26300
Haryana,"Pt Neki Ram Sharma GovtMedColl, Bhiwani",MBBS,AI,61410,Info Not Available,5,2577090,17000
Rajasthan,"GMC, Jaisalmer",MBBS,AI,96029,Info Not Available,2,1000000,20000
Kerala,"GMC, Wayanad",MBBS,AI,23150,Info Not Available,0,0,27300
Haryana,"Maharishi Chyawan Med Coll,Koriawas",MBBS,AI,61410,Info Not Available,5,2577090,17000
Kerala,"GMC, Kasaragod",MBBS,AI,23150,Info Not Available,0,0,27300
Rajasthan,"GMC, Tonk",MBBS,AI,96029,Info Not Available,2,1000000,20000
Madhya Pradesh,"GMC, Sheopur",MBBS,AI,100000,Info Not Available,1,1000000,13409
Madhya Pradesh,"GMC, Singrauli",MBBS,AI,100000,Info Not Available,1,1000000,13409
Assam,"Pragjyotishpur Med Coll,Guwahati",MBBS,AI,8400,Info Not Available,5,3000000,36225
Odisha,"Government MedColl&Hosp, Phulbani",MBBS,AI,22000,Info Not Available,2,2500000,42075
Odisha,"Pabitra Mohan Pradhan MedColl&Hosp,Talcher",MBBS,AI,22000,Info Not Available,2,2500000,42075
Telangana,"GMC, Kodangal",MBBS,AI,14000,Info Not Available,0,0,25960
Odisha,"Government Med Coll, Sundargarh",MBBS,AI,22000,500,2,2500000,42075
Odisha,"Government Med Coll, Keonjhar",MBBS,AI,22000,430,2,2500000,42075
Odisha,"Pt Raghunath Med Coll,Baripada",MBBS,AI,22000,563,2,2500000,42075
Odisha,"SCB, Cuttack",MBBS,AI,22000,2106,2,2500000,42075
Odisha,"VIMSAR, Burla",MBBS,AI,22000,1071,2,2500000,42075
Odisha,"Sri Jagannath Med Coll, Puri",MBBS,AI,22000,Info Not Available,2,2500000,42075
Odisha,"Govt Med Coll, Balasore",MBBS,AI,22000,360,2,2500000,42075
Odisha,"Govt Med Coll, Balangir",MBBS,AI,22000,300,2,2500000,42075
Odisha,"MKCG, Berhampur",MBBS,AI,22000,1140,2,2500000,42075
Odisha,"Saheed Laxman Nayak, Koraput",MBBS,AI,22000,300,2,2500000,42075
Odisha,Government Med Coll Bhawanipatna,MBBS,AI,22000,340,2,2500000,42075
Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,AI,22000,420,2,2500000,42075
Andaman and Nicobar Islands,"Andaman & NicobarIMS,PortBlair",MBBS,AI,59500,545,1,1000000,32500
Andhra Pradesh,"ACSR Govt Med Coll, Nellore",MBBS,AI,15000,355,0,0,25906
Andhra Pradesh,"Andhra Med Coll, Vizag",MBBS,AI,15000,1030,0,0,25906
