State,Institute,Course,Seats,Fee
Delhi,"AIIMS, Delhi",MBBS,48,1350
Delhi,"AIIMS, Delhi",MBBS,0+3(VV),1350
Delhi,"AIIMS, Delhi",MBBS,0+3(VV),1350
Delhi,"MAMC, Delhi",MBBS,14,2095
Delhi,"MAMC, Delhi",MBBS,0+9(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+9(VV),2095
Delhi,"VMMC, Delhi",MBBS,10,41000
Delhi,"VMMC, Delhi",MBBS,0+8(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+8(VV),41000
Delhi,"AIIMS, Delhi",MBBS,33,1350
Delhi,"AIIMS, Delhi",MBBS,1,1350
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,5,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+5(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+5(VV),41000
Delhi,"VMMC, Delhi",MBBS,5,41000
Delhi,"VMMC, Delhi",MBBS,0+4(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+4(VV),41000
Delhi,"AIIMS, Delhi",MBBS,12,1350
Pondicherry,"JIPMER, Puducherry",MBBS,52,1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+11(VV),1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+10(VV),1200
Delhi,"MAMC, Delhi",MBBS,9,2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Rajasthan,"AIIMS, Jodhpur",MBBS,57,1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+10(VV),1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+8(VV),1350
Delhi,"UCMS, Delhi",MBBS,9,31340
Delhi,"UCMS, Delhi",MBBS,0+8(VV),31340
Delhi,"UCMS, Delhi",MBBS,0+8(VV),31340
Madhya Pradesh,"AIIMS, Bhopal",MBBS,47,1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,3+18(VV),1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+15(VV),1350
Delhi,"AIIMS, Delhi",MBBS,18,1350
Delhi,"AIIMS, Delhi",MBBS,0+1(VV),1350
Delhi,"AIIMS, Delhi",MBBS,0+1(VV),1350
Chandigarh,"GMC, Chandigarh",MBBS,10,24979
Chandigarh,"GMC, Chandigarh",MBBS,0+1(VV),24979
Chandigarh,"GMC, Chandigarh",MBBS,0+1(VV),24979
Delhi,"VMMC, Delhi",MBBS,3,41000
